"Guid","Description","OpportunityId","PricebookEntryId","Product2Id","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
001ec2a3-1037-43f2-a0da-bc8876b823fe,"#N/A",874dff8f-1369-4eb1-9449-acec75e3177f,2c6e3ce0-e28c-4d41-813a-37e575a20f48,a87338d8-1e2a-40bf-944d-0994971c3c0f,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
004503c3-ed14-40e5-9b3e-0da0d15b4b1c,"#N/A",16a376e1-8dd9-4fa0-b036-968f96f34ca3,ccfd5b9d-c9b3-4735-96cb-7601c99712e3,b3b1d232-2ccd-40c9-a56c-c3a07c673c7c,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
00605792-9499-4ad1-9603-c17926095501,"#N/A",3dab2544-85ab-47d3-89ee-c88c6c0ee749,eac00bdc-0bec-4e18-bdae-14ab5442ff64,05e73e76-9fcc-4913-9e20-9f465abb250c,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
006238b6-24bc-43e8-8169-4b3ef38144c6,"#N/A",cf0c3180-61da-48f8-99c0-a84b3a4cf6bd,2c6e3ce0-e28c-4d41-813a-37e575a20f48,a87338d8-1e2a-40bf-944d-0994971c3c0f,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
0069a3aa-1c01-44d8-8ee4-c8455919efd6,"#N/A",0c39adce-414e-48f9-b8f6-57f587013841,eec358bd-0410-4ded-bfe3-83ba970033ab,385a72e0-9d9b-4b0e-ba1b-4412e43af981,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
006ab891-6197-4e16-86ac-927af5b3a1cd,"#N/A",ecade57d-eede-4459-a020-18200322adeb,1c114808-b63d-4e1e-9fff-e58aa831cb55,12f9c14b-5b73-437e-b38c-2cfb148144b0,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
007684d1-9aeb-49e3-b368-1d99dc248d4e,"#N/A",ecf6eb5f-a64c-4d56-a9d9-980e8b63151d,2c6e3ce0-e28c-4d41-813a-37e575a20f48,a87338d8-1e2a-40bf-944d-0994971c3c0f,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
008215ae-19ec-42b0-8e6b-68994c4f84a7,"#N/A",26acc69d-b873-47ae-8504-5cc840ef7133,eec358bd-0410-4ded-bfe3-83ba970033ab,385a72e0-9d9b-4b0e-ba1b-4412e43af981,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
008632be-544b-4354-8c1e-05f1039073e1,"#N/A",f59089e1-a942-44d9-9147-8c3e1d7d0708,2c6e3ce0-e28c-4d41-813a-37e575a20f48,a87338d8-1e2a-40bf-944d-0994971c3c0f,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00b43c77-9e01-47d5-8270-be0e43b00250,"#N/A",7a2dd02f-47be-410d-972e-b1e2ec6e25bb,ccfd5b9d-c9b3-4735-96cb-7601c99712e3,b3b1d232-2ccd-40c9-a56c-c3a07c673c7c,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
